Site,Subsite,Device,X,Y
VII,15um,G4,-480,960
VII,15um,G5,-640,960
VII,15um,G6,-800,960
VII,15um,G7,-960,960
VII,15um,G8,-1120,960
VII,15um,G9,-1280,960
VII,15um,G10,-1440,960
VII,15um,G11,-1600,960
VII,15um,G12,-1760,960
VII,15um,G13,-1920,960
VII,10um,H1,0,1120
VII,10um,H2,-160,1120
VII,10um,H3,-320,1120
VII,10um,H4,-480,1120
VII,10um,H5,-640,1120
VII,10um,H6,-800,1120
VII,10um,H7,-960,1120
VII,10um,H8,-1120,1120
VII,10um,H9,-1280,1120
VII,10um,H10,-1440,1120
VII,10um,H11,-1600,1120
VII,10um,H12,-1760,1120
VII,10um,H13,-1920,1120
VII,8um,I1,0,1280
VII,8um,I2,-160,1280
VII,8um,I3,-320,1280
VII,8um,I4,-480,1280
VII,8um,I5,-640,1280
VII,8um,I6,-800,1280
VII,8um,I7,-960,1280
VII,8um,I8,-1120,1280
VII,8um,I9,-1280,1280
VII,8um,I10,-1440,1280
VII,8um,I11,-1600,1280
VII,8um,I12,-1760,1280
VII,8um,I13,-1920,1280
VII,TLM,L800W8,0,0
VII,TLM,L400W8,-420,0
VII,TLM,L800W4,0,180
VII,TLM,L400W4,-420,180
VII,TLM,L800W2,0,360
VII,TLM,L400W2,-420,360
VII,TLM,L200W8,-840,0
VII,TLM,L100W8,-1260,0
VII,TLM,L200W4,-840,180
VII,TLM,L100W4,-1260,180
VII,TLM,L200W2,-840,360
VII,TLM,L100W2,-1260,360
VII,LTLMI,L1600W1,0,0
VII,LTLMII,L1600W1,0,0
VII,FeCapBD,A1A2,0,0
VII,FeCapBD,A3A4,-320,0
VII,FeCapBD,A5A6,-640,0
VII,FeCapBD,A7A8,-960,0
VII,FeCapBD,A9A10,-1280,0
VII,FeCapBD,B1B2,0,160
VII,FeCapBD,B3B4,-320,160
VII,FeCapBD,B5B6,-640,160
VII,FeCapBD,B7B8,-960,160
VII,FeCapBD,B9B10,-1280,160
VII,FeCapBD,C1C2,0,320
VII,FeCapBD,C3C4,-320,320
VII,FeCapBD,C5C6,-640,320
